question,student_id,teacher,single_first_score,model_avg_score,selected_baseline_score,final_calibrated_score,single_diff,avg_diff,selected_diff,final_diff,single_abs_error,avg_abs_error,selected_abs_error,final_abs_error,avg_gain_vs_single,selected_gain_vs_avg,final_gain_vs_selected,final_gain_vs_avg,final_gain_vs_single,route,baseline_serious_error,risk_captured_by_route,safe_pos,task_type,complex_derivation_task,upper_consensus_eligible,baseline_policy,baseline_score_source,std_dev,blank_rate,U_E,U_S,U_R,primary_risk,primary_mu,boundary_action,score_calibration_applied,score_calibration_correction,score_calibration_reason,score_calibration_lookup
CO_1,ANS_CO_101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,keep_minor_change,False,0.0,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_102,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,hierarchical_canonical_full_credit,
CO_1,ANS_CO_100,2.0,2.0,2.0,2.0,1.9,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.1,0.0,0.0,-0.1,-0.1,-0.1,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.3,0.0,0.3,0.2,0.8,reject_raise,True,-0.1,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_103,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,hierarchical_canonical_full_credit,
CO_1,ANS_CO_107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,1.0,1.0,0.0,1.0,0.666667,0.333333,keep_minor_change,False,0.0,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,keep_minor_change,False,0.0,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_110,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,hierarchical_canonical_full_credit,
CO_1,ANS_CO_111,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,hierarchical_canonical_full_credit,
CO_1,ANS_CO_112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.67,0.7,0.0,0.7,0.466667,0.533333,keep_minor_change,False,0.0,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_108,0.0,0.0,0.2,0.2,0.1,0.0,0.2,0.2,0.1,0.0,0.2,0.2,0.1,-0.2,0.0,0.1,0.1,-0.1,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.3536,0.0,0.0,0.75,0.0,0.25,0.75,keep_minor_change,True,-0.1,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_113,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,hierarchical_canonical_full_credit,
CO_1,ANS_CO_115,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEG,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,not_run_for_neg_route,
CO_1,ANS_CO_116,2.0,2.0,2.0,2.0,1.9,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.1,0.0,0.0,-0.1,-0.1,-0.1,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.3,0.0,0.3,0.2,0.8,keep_minor_change,True,-0.1,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_117,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,hierarchical_canonical_full_credit,
CO_1,ANS_CO_118,2.0,1.0,1.0,1.0,0.9,-1.0,-1.0,-1.0,-1.1,1.0,1.0,1.0,1.1,0.0,0.0,-0.1,-0.1,-0.1,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.67,0.6,0.0,0.6,0.4,0.6,keep_minor_change,True,-0.1,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_12,2.0,2.0,2.0,2.0,1.9,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.1,0.0,0.0,-0.1,-0.1,-0.1,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.3,0.0,0.3,0.2,0.8,keep_minor_change,True,-0.1,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_121,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,NEG,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.3,0.0,0.3,0.2,0.8,,False,0.0,not_run_for_neg_route,
CO_1,ANS_CO_122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.67,0.6,0.0,0.6,0.4,0.6,keep_minor_change,False,0.0,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.3,0.0,0.3,0.2,0.8,keep_minor_change,False,0.0,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_123,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,zero_correction,question_route_band:CO_1|POS|high
CO_1,ANS_CO_124,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,zero_correction,question_route_band:CO_1|POS|high
CO_1,ANS_CO_126,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,hierarchical_canonical_full_credit,
CO_1,ANS_CO_125,2.0,2.0,2.0,2.0,1.9,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.1,0.0,0.0,-0.1,-0.1,-0.1,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.3,0.0,0.3,0.2,0.8,keep_minor_change,True,-0.1,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.3,0.0,0.3,0.2,0.8,keep_minor_change,False,0.0,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_127,2.0,2.0,2.0,2.0,1.9,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.1,0.0,0.0,-0.1,-0.1,-0.1,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.3,0.0,0.3,0.2,0.8,reject_raise,True,-0.1,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_129,2.0,3.5,3.5,3.5,3.4,1.5,1.5,1.5,1.4,1.5,1.5,1.5,1.4,0.0,0.0,0.1,0.1,0.1,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,keep_minor_change,True,-0.1,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_130,0.0,2.0,1.5,1.5,1.4,2.0,1.5,1.5,1.4,2.0,1.5,1.5,1.4,0.5,0.0,0.1,0.1,0.6,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.4082,0.33,0.3,1.0,0.3,0.533333,0.466667,keep_minor_change,True,-0.1,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_131,2.0,3.5,3.5,3.5,3.4,1.5,1.5,1.5,1.4,1.5,1.5,1.5,1.4,0.0,0.0,0.1,0.1,0.1,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,keep_minor_change,True,-0.1,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_133,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,hierarchical_canonical_full_credit,
CO_1,ANS_CO_135,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,hierarchical_canonical_full_credit,
CO_1,ANS_CO_136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.67,0.7,0.0,0.7,0.466667,0.533333,keep_minor_change,False,0.0,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_137,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,zero_correction,question_route_band:CO_1|POS|high
CO_1,ANS_CO_16,2.0,2.0,2.0,2.0,1.9,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.1,0.0,0.0,-0.1,-0.1,-0.1,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,keep_minor_change,True,-0.1,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_17,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEG,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,not_run_for_neg_route,
CO_1,ANS_CO_15,5.0,5.0,3.7,3.7,3.7,0.0,-1.3,-1.3,-1.3,0.0,1.3,1.3,1.3,-1.3,0.0,0.0,0.0,-1.3,NEG,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,1.0274,0.0,0.0,1.0,0.0,0.333333,0.666667,,False,0.0,not_run_for_neg_route,
CO_1,ANS_CO_19,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,hierarchical_canonical_full_credit,
CO_1,ANS_CO_18,2.0,2.0,2.0,2.0,1.9,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.1,0.0,0.0,-0.1,-0.1,-0.1,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.3,0.0,0.3,0.2,0.8,keep_minor_change,True,-0.1,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_20,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,hierarchical_canonical_full_credit,
CO_1,ANS_CO_21,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,hierarchical_canonical_full_credit,
CO_1,ANS_CO_22,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,hierarchical_canonical_full_credit,
CO_1,ANS_CO_25,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,hierarchical_canonical_full_credit,
CO_1,ANS_CO_24,2.0,3.5,3.5,3.5,3.4,1.5,1.5,1.5,1.4,1.5,1.5,1.5,1.4,0.0,0.0,0.1,0.1,0.1,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,keep_minor_change,True,-0.1,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,keep_minor_change,False,0.0,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_26,1.0,2.0,2.0,2.0,1.9,1.0,1.0,1.0,0.9,1.0,1.0,1.0,0.9,0.0,0.0,0.1,0.1,0.1,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.3,0.0,0.3,0.2,0.8,keep_minor_change,True,-0.1,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_28,5.0,3.5,3.5,3.5,3.4,-1.5,-1.5,-1.5,-1.6,1.5,1.5,1.5,1.6,0.0,0.0,-0.1,-0.1,-0.1,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,keep_minor_change,True,-0.1,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_30,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,hierarchical_canonical_full_credit,
CO_1,ANS_CO_29,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEG,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,not_run_for_neg_route,
CO_1,ANS_CO_31,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,hierarchical_canonical_full_credit,
CO_1,ANS_CO_34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,1.0,1.0,0.0,1.0,0.666667,0.333333,keep_minor_change,False,0.0,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.67,0.7,0.0,0.7,0.466667,0.533333,keep_minor_change,False,0.0,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_33,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,hierarchical_canonical_full_credit,
CO_1,ANS_CO_36,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,hierarchical_canonical_full_credit,
CO_1,ANS_CO_38,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,hierarchical_canonical_full_credit,
CO_1,ANS_CO_40,2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.67,0.7,0.0,0.7,0.466667,0.533333,keep_minor_change,False,0.0,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_39,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,hierarchical_canonical_full_credit,
CO_1,ANS_CO_41,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,hierarchical_canonical_full_credit,
CO_1,ANS_CO_43,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,hierarchical_canonical_full_credit,
CO_1,ANS_CO_42,2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.67,0.7,0.0,0.7,0.466667,0.533333,keep_minor_change,False,0.0,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_45,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,hierarchical_canonical_full_credit,
CO_1,ANS_CO_46,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,hierarchical_canonical_full_credit,
CO_1,ANS_CO_50,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,hierarchical_canonical_full_credit,
CO_1,ANS_CO_51,2.0,2.0,2.0,2.0,1.9,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.1,0.0,0.0,-0.1,-0.1,-0.1,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,keep_minor_change,True,-0.1,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_53,2.0,2.0,2.0,2.0,1.9,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.1,0.0,0.0,-0.1,-0.1,-0.1,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.3,0.0,0.3,0.2,0.8,reject_raise,True,-0.1,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_54,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,hierarchical_canonical_full_credit,
CO_1,ANS_CO_55,2.0,2.0,2.0,2.0,1.9,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.1,0.0,0.0,-0.1,-0.1,-0.1,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.3,0.0,0.3,0.2,0.8,keep_minor_change,True,-0.1,validation_route_score_band_correction,question_route:CO_1|BND
